Type,Name,Price,Average Rating
Beef,"All Natural* 80% Lean/20% Fat Ground Beef Chuck, 1 lb Tray",4.97,2.10
Chicken,"Great Value All Natural Chicken Wing Sections, 4 lb (Frozen)",12.98,No Rating Found
Cookies,NABISCO OREO CAKESTERS ORIGINAL COOKIES 10.1 OZ,3.98,3.90
Cookies,"Nutter Butter Double Nutty Peanut Butter Sandwich Cookies, Family Size, 15.27 oz",4.68,4.50
Cookies,"Nutter Butter Peanut Butter Wafer Cookies, 10.5 oz",4.68,4.30
Cookies,"Ginger Snaps Cookies, Ginger Cookies, 16 oz",6.24,4.10
Cookies,"OREO Chocolate Sandwich Cookies, 12 Snack Packs",6.74,4.80
Jerky & Dried Meats,"Slim Jim Original Smoked Snack Sized Sticks Pantry Pack, 0.28 oz. Meat Sticks, 46-ct Box",11.84,4.50
Juices,"Capri Sun Strawberry Kiwi Juice Box Pouches, 10 ct Box, 6 fl oz Pouches",3.18,4.70
Juices,"Ocean Spray® White Cran-Strawberry Juice Drink, 64 fl oz Bottle",3.36,4.10
Juices,"Ocean Spray® White Cran-Peach Juice Drink, 64 fl oz Bottle",3.36,4.50
Juices,"Dole All Natural 100% Pineapple Juice Can, 6 fl oz, 6 Count",3.98,4.40
Juices,"Great Value 100% Orange Juice, 10 fl oz, 6 Count",4.46,3.30
Juices,"Welch's Mango Twist Juice Cocktail, 96 fl oz Bottle",4.78,4.40
Juices,"Ocean Spray® Cran-Apple™ Cranberry Apple Juice Drink, 101.4 fl oz Bottle",4.87,4.40
Juices,"Ocean Spray® Cran-Raspberry® Cranberry Raspberry Juice Drink, 101.4 fl oz Bottle",4.87,4.30
Juices,"Welch's 100% Grape Juice, Concord Grape, 96 fl oz Bottle",7.22,4.70
Juices,"(3 Cans) Dole All Natural 100% Pineapple Juice, 46 fl oz Can",8.78,4.30
Juices,"Capri Sun Fruit Punch Juice Box Pouches, 30 ct Box, 6 fl oz Pouches",9.43,4.60
Juices,"Ocean Spray® Pink Cranberry Juice Cocktail, 64 fl oz Bottle",12.98,4.60
Juices,"(24 Bottles) Tropicana 3 Flavor Classic Variety Pack, 10 fl oz",17.79,4.60
Juices,Ace Aloe Juice 12-Pack,26.4,4.70
Packaged Meals,"Rice-a-Roni Rice & Vermicelli Mix, Chicken & Broccoli, 4.9 oz Box",5.23,4.60
Rice,"Knorr Rice Sides Cheddar Broccoli Rice Cooks in 7 Minutes No Artificial Flavors, 5.7 oz",1.34,4.50
Rice,Goya Cnilla Rice Par Bld (12x5LB ),4.67,4.30
Rice,"Minute Instant White Rice, Light and Fluffy, 42 oz",6.17,4.80
Rice,"Carolina Jasmine White Rice, Thai Fragrant Long Grain Rice, 5 lb Bag",6.2,4.50
Rice,"Mahatma Authentic Saffron Yellow Rice, Seasoned Rice with Spices, 5 oz Bag",6.26,4.20
Rice,"Iberia Jasmine Long Grain Enriched Fragrant Rice, 5 lbs",6.92,3.50
Rice,"Mahatma Authentic Saffron Yellow Rice, Seasoned Rice with Spices, 10 oz Bag",9.81,3.80
Snack Chips,"Doritos Nacho Cheese Tortilla Snack Chips,Party Size, 14.5 oz Bag",4.93,4.70
Snack Chips,"Ruffles Original Potato Snack Chips,Party Size, 13 oz Bag",5.48,3.70
Snack Crackers,"Premium Original Soup & Oyster Crackers, 9 oz",3.58,4.40
Snack Crackers,"Town House Original Oven Baked Crackers, 20.7 oz",4.98,3.30
Snack Crackers,"RITZ Fresh Stacks Original Crackers, Party Size, 23.7 oz (16 Stacks)",5.98,4.60
Snack Crackers,"Handi-Snacks RITZ Crackers 'N Cheesy Dip Snack Packs, 12 Snack Packs",6.48,4.10
Snack Crackers,"Combos, Pepperoni Pizza Cracker, Count 1 - Snacks / Grab Varieties & Flavors",6.7,3.50
Snack Crackers,"Cheez-It Original Cheese Crackers, 28 oz, 2 Count",7.54,4.50
Snack Crackers,"Goldfish Elf Maple Syrup Flavored Graham Crackers, Snack Crackers, 6.1 oz Bag",11.49,5.00
Snack Crackers,"Goldfish Disney Mickey Mouse Cheddar Crackers, Snack Crackers, 30 oz Carton",23.48,4.80
